gameid,datacompleteness,league,year,split,playoffs,date,game,gamelength,participantid,position,playername,playerid,teamname,teamid,result,kills,assists,deaths,total cs,teamkills,teamdeaths,cspm,damageshare,earnedgoldshare,participantid,teamname,teamid,result,teamkills,assists,teamdeaths,dragons,opp_dragons,heralds,opp_heralds,barons,opp_barons,towers
10663-10663_game_1,partial,DCup,2023,-1,0,2024-01-04 09:13:41,1,1720,5,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0,8,5,47.0,9,21,1.6395,0.234183,0.100609,5,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,9,8,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10663-10663_game_1,partial,DCup,2023,-1,0,2024-01-04 09:13:41,1,1720,10,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0,11,2,36.0,21,9,1.2558,0.0700085,0.0829732,10,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,21,11,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10663-10663_game_2,partial,DCup,2023,-1,0,2024-01-04 10:02:07,2,1972,5,sup,Zorah,oe:player:937dc5479c6416d1ad4997538144f6e,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0,2,5,35.0,6,14,1.0649,0.0651465,0.0741165,5,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,6,2,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10663-10663_game_2,partial,DCup,2023,-1,0,2024-01-04 10:02:07,2,1972,10,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0,9,0,35.0,14,6,1.0649,0.0770845,0.0954832,10,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,14,9,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10663-10663_game_3,partial,DCup,2023,-1,0,2024-01-04 10:53:57,3,1750,5,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0,10,1,35.0,13,4,1.2,0.0677214,0.0879507,5,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,13,10,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10663-10663_game_3,partial,DCup,2023,-1,0,2024-01-04 10:53:57,3,1750,10,sup,ShiauC,oe:player:5d7f415cbf04b549c235a8a3d83a763,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0,4,3,25.0,4,13,0.8571,0.0873388,0.0810997,10,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,4,4,13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10664-10664_game_1,partial,DCup,2023,-1,0,2024-01-06 09:21:52,1,1819,5,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0,7,5,35.0,12,18,1.1545,0.0908194,0.0895959,5,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,12,7,18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10664-10664_game_1,partial,DCup,2023,-1,0,2024-01-06 09:21:52,1,1819,10,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1,14,0,73.0,18,12,2.4079,0.077254,0.128605,10,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,18,14,12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10664-10664_game_2,partial,DCup,2023,-1,0,2024-01-06 10:13:03,2,1403,5,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,0,16,1,65.0,21,2,2.7798,0.0907658,0.126632,5,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,21,16,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10664-10664_game_2,partial,DCup,2023,-1,0,2024-01-06 10:13:03,2,1403,10,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0,2,4,28.0,2,21,1.1974,0.153613,0.110924,10,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,2,2,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10664-10664_game_3,partial,DCup,2023,-1,0,2024-01-06 10:53:29,3,1863,5,sup,MISSING,oe:player:10d1208b485425756fcc932229386b0,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0,4,5,18.0,10,21,0.5797,0.0732394,0.089845,5,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,10,4,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10664-10664_game_3,partial,DCup,2023,-1,0,2024-01-06 10:53:29,3,1863,10,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1,17,1,49.0,21,10,1.5781,0.0872568,0.101963,10,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,21,17,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
